,name,num,citations,numpapers
488,giorgos papadavid,2278732804,19,2
489,john schultz,2125273185,40,2
490,michael m martin,2586474977,29,1
491,rafael holmgren,2609421251,9,1
492,y backe forsberg,2300885633,9,1
493,bjoern h menze,2039442281,4,1
494,jason ur,1430897697,20,2
495,giovanni maria carlomagno,1965809585,16,1
496,rosa di maio,2506914586,16,1
497,maurizio fedi,2093564473,16,1
498,carosena meola,2103363013,16,1
499,martin j f fowler,2495405225,59,2
500,jeanpaul deroin,1962718514,31,2
501,florian tereygeol,269525963,25,1
502,jurgen heckes,2396570167,25,1
503,ginesse a listi,305562247,11,1
504,mary h manhein,211405542,11,1
505,michael leitner,2119022519,11,1
506,paolo mozzi,2907320691,6,1
507,alessandro fontana,2282610807,6,1
508,francesco ferrarese,2026177842,6,1
509,andrea ninfo,2013490024,6,1
510,roberto francese,2511048172,6,1
511,jeanpierre toumazet,1994084642,3,1
512,franck vautier,2625167437,3,1
513,erwan roussel,2898146690,3,1
514,bertrand dousteyssier,2806983318,3,1
515,j l davis,2524551721,45,1
516,j a heginbottom,2664193632,45,1
517,a p annan,2644842042,45,1
518,r s daniels,2525998374,45,1
519,b p berdal,2580768073,45,1
520,t bergan,2525048760,45,1
521,k e duncan,2525145247,45,1
522,p k lewin,2654886883,45,1
523,j s oxford,2526679894,45,1
524,n roberts,2527637295,45,1
525,j j skehel,2598249520,45,1
526,c r smith,2525685245,45,1
527,anthony corns,2136335310,25,1
528,robert shaw,2171091052,25,1
529,dimitris kaimaris,1983130135,25,2
530,olga georgoula,2043861242,26,2
531,petros patias,682610978,26,2
532,eustratios stylianidis,2084757237,22,1
533,enrico borgogno mondino,2059200152,3,1
534,luigi perotti,2692015324,3,1
535,marco piras,1968523863,3,1
536,deng biao,2673260233,6,1
537,thomas oliver pryce,2010148488,22,2
538,m j abrams,2709918107,11,1
539,william megarry,2302339804,3,1
540,gabriel cooney,2113440608,3,1
541,douglas c comer,1965876590,11,2
542,carey e priebe,2144812577,3,1
543,mariam samaan,2638762585,7,1
544,raphaele heno,2586825931,7,1
545,marc pierrotdeseilligny,2226352149,7,1
546,yannick van hollebeeke,2297158594,9,1
547,stephanie verplaetse,2420596929,9,1
548,michael rogers,2149215337,12,1
549,jeffrey f leon,2143368555,12,1
