source,target
2087375155,1974264916
2087375155,33876368
2052351095,2148982690
1985496542,2010502171
1985496542,2005426878
1985496542,2073858706
1985496542,1974657071
1985496542,2012765458
1989682539,2018297962
1989682539,1530780495
2155545446,1993243599
2106351948,1986534301
2074039810,2043002852
2074039810,1989837633
2074039810,1623899554
2074039810,2004638404
2074039810,1996922388
2074039810,2086349579
2074039810,2018297962
2074039810,2147809505
2074039810,2060133927
2074039810,1997841652
2074039810,2087375155
2074039810,2059580680
2074039810,2086871164
2074039810,2021984623
2074039810,2073764051
2074039810,2045381284
2074039810,2060948559
2074039810,2148089768
2074039810,33876368
2012938189,2083281122
2012938189,2074471048
2012938189,2202777762
2012938189,1966001053
2012938189,2025333233
2018601649,2164345547
2018601649,1504183433
2018601649,2043002852
2018601649,2048128407
2018601649,1513488900
2018601649,2068580990
2018601649,2157716938
2018601649,1497653339
2018601649,2155545446
2018601649,735113
2018601649,2133550526
2018601649,2471613662
2018601649,2120571145
2155857951,2058105619
2155857951,2052351095
2155857951,2129428187
2155857951,2016685829
2155857951,2043841568
2155857951,2170059286
2155857951,1973049152
2155857951,2088117221
2155857951,2133550526
2155857951,2048487042
2155857951,2169676896
1859986355,1504183433
1859986355,2129493656
1859986355,864372470
1859986355,1989837633
1859986355,2042474989
1859986355,1996922388
1859986355,2086349579
1859986355,2089919337
1859986355,2071719485
1859986355,2018297962
1859986355,2060133927
1859986355,2118955670
1859986355,1997841652
1859986355,1972427274
1859986355,2087375155
1859986355,2155545446
1859986355,2074039810
1859986355,2073163184
1859986355,2017167989
1859986355,2039824329
1859986355,2017313399
1859986355,2073764051
1859986355,1989914450
1859986355,2014439803
1859986355,2045381284
1859986355,2091121559
1859986355,391919516
2059580680,2043002852
2059580680,1989837633
2059580680,2086349579
2059580680,1991893215
2059580680,2081497821
2059580680,1513787087
2059580680,2026890993
2086871164,2083511573
2086871164,2073691881
2086871164,2007351065
2086871164,2305136657
2086871164,2119181641
2086871164,2047827914
2497468488,1968999285
2497468488,2101953912
2497468488,864372470
2497468488,2023375984
2497468488,2296421709
2497468488,1555700134
2497468488,1913732766
2497468488,1859986355
2497468488,1971256359
2497468488,1540377832
2497468488,1880836256
2497468488,2089705972
